Timestamp,Faces Detected,Smile
20250614_151936,1,Smile Detected
20250614_151936,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151937,1,Smile Detected
20250614_151938,1,Smile Detected
20250614_151940,1,Smile Detected
20250614_151940,1,Smile Detected
20250614_151940,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151941,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151942,1,Smile Detected
20250614_151945,1,Smile Detected
20250614_151945,1,Smile Detected
20250614_151945,1,Smile Detected
20250614_151945,1,Smile Detected
20250614_151945,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151946,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151947,1,Smile Detected
20250614_151951,1,Smile Detected
20250614_151951,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151952,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151953,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151954,1,Smile Detected
20250614_151955,1,Smile Detected
20250614_151955,1,Smile Detected
20250614_151955,1,Smile Detected
20250614_151955,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151956,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151957,1,Smile Detected
20250614_151959,1,Smile Detected
20250614_151959,1,Smile Detected
20250614_151959,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152000,1,Smile Detected
20250614_152213,1,Smile Detected
20250614_152213,1,Smile Detected
20250614_152213,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152220,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152221,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152222,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152224,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152226,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152227,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152228,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152229,1,Smile Detected
20250614_152230,1,Smile Detected
20250614_152230,1,Smile Detected
20250614_152230,1,Smile Detected
20250614_152230,1,Smile Detected
20250614_152231,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152232,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152233,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
20250614_152234,1,Smile Detected
